isbn,name,author,stock,publisher,,price,borroweCount,type
,贝多芬传（插图珍藏本）,（法）罗曼?罗兰/傅雷,2,中国友谊出版公司,2000-10-01 00:00:00,29.80 ,0,2
,迷幻异域,MatthewCollin（馬修．柯林）/JohnGofrey（約翰．高德菲）/羅悅全,1,何穎怡,商周出版（台湾）,1997（2001）,0,2
,弹指之间,潘尚文,1,吉林音像出版社,2011-12-01 00:00:00,48.00 ,0,2
,灿烂涅槃,郝舫,2,社会科学文献出版社,1996-11-01 00:00:00,23.80 ,0,2
,练琴,（美）格伦?库尔茨,2,林幻奇,漓江出版社,35.00 ,0,2
,美国爵士乐全攻略,JohnF.Szwe/陳志宇,1,左耳文化,2007.5.15,HK183（550台币）,0,2
,五线谱入门,李重光,2,人民音乐出版社,2008-05-01 00:00:00,12.00 ,0,2
,论钢琴演奏,约·霍夫曼/李素心,2,人民音乐出版社,2000-08-01 00:00:00,15.00 ,0,2
,钢琴弹奏的基本法则,约瑟夫·列文/缪天瑞,1,人民音乐出版社,1981-05-01 00:00:00,5.50 ,0,2
,嗓音的科学训练与保健,彭莉佳,2,上海音乐学院出版社,2005-01-01 00:00:00,35.00 ,0,2
,世界名曲欣赏·上·德奥部分,杨民望,2,上海音乐出版社,1905-06-13 00:00:00,34.00 ,0,2
,地下乡愁蓝调,马世芳,1,广西师范大学出版社,2007-10-01 00:00:00,34.00 ,0,2
,民谣流域,李皖,1,江苏人民出版社,2008-01-01 00:00:00,48.00 ,0,2
,秋籁居忆旧,成公亮口述/严晓星执笔,2,中华书局,2015-03-01 00:00:00,58.00 ,0,2
,後九七香港粵語流行歌詞研究,朱耀偉教授/梁偉詩博士,2,亮光文化有限公司,2011-07-18 00:00:00,推廣價HK130（原價$180）,0,2
,不可思议的惊奇,凯文·巴扎纳/刘家蓁,1,上海人民出版社,2009-01-01 00:00:00,52.00 ,0,2
,不朽的钢琴家,[美]哈罗德?C.勋伯格/顾连理/吴佩华,2,广西师范大学出版社,2014-06-01 00:00:00,68.00 ,0,2
,音乐诗学六讲,斯特拉文斯基/IgorStravinsky/姜蕾,1,上海音乐学院出版社,1905-06-30 09:36:00,18.00 ,0,2
,练琴的艺术,玛德琳娜?布鲁瑟尔/邹彦/伍维曦,1,上海音乐出版社,2005-05-01 00:00:00,28.00 ,0,2
,爵士乐,保罗·O.W.坦纳/戴维·W.梅吉尔/莫里斯·杰罗/任达敏/梁方敏,1,人民音乐出版社,1905-07-02 16:48:00,60.00 ,0,2
,轻松自学吉他,（美）布莱克·尼利，（美）杰夫·施罗德,2,南海出版公司,2004-01-01 00:00:00,39.80 ,0,2
,感動，如此創造,久石讓/何啟宏/麥田出版社/2008,2,出版信息：05,1900-01-05 00:00:00,240TW,0,2
,台灣流行音樂200最佳專輯（1975-2005）,林怡君/吳清聖/陶曉清/馬世芳,2,時報文化出版企業股份,2009-02-06 00:00:00,新台币399,0,2
,当代流行歌手声乐技能训练,安妮?佩克汉姆,2,人民音乐出版社,2009-09-01 00:00:00,44.00 ,0,2
,瓦格纳事件 尼采反瓦格纳,[德]尼采/孙周兴,1,商务印书馆,2011-08-01 00:00:00,14.00 ,0,2
,樂來樂想,焦溥/聯經出版事業股份有限公司/2008,2,出版信息：09,1900-01-18 00:00:00,112.00 ,0,2
,蜀中琴人口述史,杨晓主编,1,生活·读书·新知三联书店,2013-06-01 00:00:00,85.00 ,0,2
,基本乐理,任达敏,2,人民音乐出版社,2006-05-01 00:00:00,38.00 ,0,2
,管风琴·看听读,马慧,2,中华书局,2009年,35.00 ,0,2
,肖邦传,（法）贝尔纳·加沃蒂/张雪,2,上海人民出版社,2012-10-01 00:00:00,38.00 ,0,2
,古典音乐,(英)约翰·布罗斯//查尔斯·维费恩|译者:任晓寅/任晓寅,2,旅游教育,2012-04-01 00:00:00,68.00 ,0,2
,乐之本事,,2,出版信息：焦溥,广西师范大学出版社,,0,2
,傅雷家书,傅敏编,2,生活·读书·新知三联书店,1990.12.3,18.80 ,0,2
,摇滚不死,(加)尼尔·杨/陈震,2,中国人民大学出版社,2014-11-01 00:00:00,58.00 ,0,2
,怎样鉴别黄色歌曲,《人民音乐》编辑部,1,人民音乐出版社,1905-06-04 00:00:00,0.22 ,0,2
,此地无人生还,[美]杰里·霍普金斯/丹尼·萨格曼/董楠,1,江苏人民出版社,2008-01-01 00:00:00,36.00 ,0,2
,然而，很美,(英)杰夫·戴尔/孔亚雷,1,浙江文艺出版社,2013-08-01 00:00:00,CNY26.00,0,2
,辛丰年音乐笔记,辛丰年,1,上海音乐出版社,1999-04-01 00:00:00,25.00 ,0,2
,西雅图之声,[美]马克亚姆/牛唯薇,2,上海三联书店,2014-05-15 00:00:00,94.00 ,0,2
,声音,[法]米歇尔·希翁/张艾弓,2,北京大学出版社,2013-10-01 00:00:00,58.00 ,0,2
,音樂使人自由,坂本龍一/何啟宏,1,麥田出版社,2010-12-01 00:00:00,140.00 ,0,2
,灿烂涅槃,郝舫,1,安徽人民出版社,2006-07-01 00:00:00,38.00 ,0,2
,维特根斯坦之家,亚历山大?沃（AlexanerWaugh）/钟远征,2,漓江出版社,2014-11-01 00:00:00,48.00 ,0,2
,音乐课,（美）维克多·伍顿/范中洁/孙睿婕,2,吉林出版集团有限责任公司,2010-06-01 00:00:00,25.00 ,0,2
,古琴,[瑞典]林西莉/许岚/熊彪,1,生活·读书·新知三联书店,2009-10-01 00:00:00,49.00 ,0,2
,节奏、色彩和鸟类学的论著,奥利沃·梅西安,2,上海音乐学院出版社,2010-01-01 00:00:00,28.00 ,0,2
,搖滾神話學,露芙．帕黛/何穎怡,2,商周出版,2006.08.14.,480.00 ,0,2
,沉默,约翰·凯奇(JohnCage)/李静滢,2,漓江出版社,2013-10-01 00:00:00,CNY47.50,0,2
,古典音乐,（美）波格（Pogue.),2,机械工业出版社,2005-06-01 00:00:00,38.00 ,0,2
,北方人的巴赫,马慧,1,华夏出版社,2005-01-01 00:00:00,21.00 ,0,2
,噪音书,[美]加列特·基泽尔/赵卓/重庆大学出版社,2,出版信息：楚尘文化,2014-10-01 00:00:00,48.00 ,0,2
,轻松自学架子鼓,（美）布莱克?尼利瑞克?马汀利,1,南海出版公司,2004-01-01 00:00:00,43.00 ,0,2
,康素爱萝,[法国]乔治·桑/郑克鲁/金志平,1,译林出版社,1998-09-01 00:00:00,43.00 ,0,2
,傅雷家书,傅敏,1,江苏文艺出版社,2010-06-01 00:00:00,25.00 ,0,2
,台湾流行音乐200最佳专辑（1975～2005）,林怡君/吴清圣/陶晓清/马世芳,1,生活·读书·新知三联书店,1905-07-01 02:52:48,52.00 ,0,2
,莱比锡之旅（附谱例别册）,[法]米歇尔?莫拉/张雪,2,广西师范大学出版社,2012-10-01 00:00:00,32.00 ,0,2
,嵇康：声无哀乐论,吉联抗,1,嵇康,人民音乐出版社,0.79 ,0,2
,论音乐的美,（奥）汉斯立克,1,人民音乐出版社,2003-07-01 00:00:00,8.80 ,0,2
,嘻哈帮 Hip-Hop Bang,,2,出版信息：嘻哈帮杂志社,1905-06-28 02:38:24,14.80 ,0,2
,把青春唱完1990-1999,高原,2,中信出版集团,2015-09-01 00:00:00,CNY68.00,0,2
,想乐,杨照,1,广西师大出版社,2013-10-01 00:00:00,48.00 ,0,2
,披头士,[英]亨特·戴维斯/林东翰,2,中信出版社,2015-06-01 00:00:00,88.00 ,0,2
,How Music Got Free,StephenWitt,1,Viking,2015-06-16 00:00:00,27.95 ,0,2
,音效圣经,[美]里克·维尔斯（RicViers）·/王旭锋/徐晶晶/孙畅,2,世界图书出版公司·后浪出版公司,2012-11-01 00:00:00,39.80 ,0,2
,古典作曲家排行榜,菲尔·G·古尔丁/雯边,2,中国人民大学出版社,2012-06-01 00:00:00,98.00 ,0,2
,吉他手冊系列樂理篇－吉他和弦百科.,潘尚文,2,麥書,#VALUE!,180.00 ,0,2
,不厭其煩,陳綺貞,1,时报文化出版企业股份有限公司,1905-06-23 00:00:00,新台币320,0,2
,給所有明日的聚會,陳德政,2,大家出版社,2011-01-06 00:00:00,TW320,0,2
,昆曲日记,张允和,1,语文出版社,2004-07-01 00:00:00,38.00 ,0,2
,歌物件,馬世芳,2,新經典圖文傳播,2014-05-01 00:00:00,270.00 ,0,2
,永恒的日记,诺曼·莱布雷希特（NormanLebrecht）/盛韵/虞翔,2,生活·读书·新知三联书店,1905-07-01 00:00:00,35.00 ,0,2
,古典音樂的不古典講堂,[英]蓋瑞斯·馬隆/陳婷君,2,漫遊者文化,2012-06-01 00:00:00,360.00 ,0,2
,修补裂痕,伊凡·休伊特/孙红杰/杨燕迪校,1,华东师范大学出版社,2006-06-01 00:00:00,20.00 ,0,2
,村上收音機,作者：村上春樹/繪者：大橋步/賴明珠,2,時報文化,2012-11-01 00:00:00,280.00 ,0,2
,剑桥插图音乐指南,[英]斯坦利·萨迪/艾莉森·莱瑟姆主编/孟宪福主译,1,山东画报出版社,2002-09-01 00:00:00,80.00 ,0,2
,小林克已摇滚吉他教室,小林克己/杨洋,2,湖南文艺出版社（文学类）,2003-04-01 00:00:00,25.00 ,0,2
